is_warmup,round,order_position,variant,workflow_file,run_id,run_attempt,run_url,sha,conclusion,metrics_artifact_found,created_at,workload_started_at,workload_completed_at,workflow_completed_at,queue_delay_sec,workload_duration_sec,end_to_end_duration_sec,backend_job_duration_sec,frontend_job_duration_sec,workload_runner_time_sec,total_runner_time_sec,backend_install_sec,backend_test_sec,frontend_install_sec,frontend_lint_sec,frontend_test_sec,frontend_build_sec,backend_conclusion,frontend_conclusion,metrics_conclusion,failed_step
false,19,3,reusable,ci-reusable.yml,34714788544,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34714788544,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T19:39:07Z,2026-09-12T19:39:11Z,2026-09-12T19:40:07Z,2026-09-12T19:40:13Z,4.0,56.0,66.0,56.0,36.0,92.0,96.0,2.0,20.0,3.0,4.0,11.0,0.0,success,success,success,
false,20,1,baseline,ci-baseline.yml,34714852783,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34714852783,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T19:40:26Z,2026-09-12T19:40:29Z,2026-09-12T19:41:39Z,2026-09-12T19:41:45Z,3.0,70.0,79.0,70.0,36.0,106.0,109.0,3.0,28.0,4.0,4.0,10.0,1.0,success,success,success,
false,20,2,reusable,ci-reusable.yml,34714924022,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34714924022,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T19:41:54Z,2026-09-12T19:41:57Z,2026-09-12T19:42:53Z,2026-09-12T19:43:09Z,3.0,56.0,75.0,56.0,34.0,90.0,94.0,2.0,20.0,3.0,3.0,11.0,1.0,success,success,success,
false,20,3,composite,ci-composite.yml,34714992601,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34714992601,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T19:43:22Z,2026-09-12T19:43:26Z,2026-09-12T19:44:20Z,2026-09-12T19:44:28Z,4.0,54.0,66.0,54.0,30.0,84.0,89.0,4.0,23.0,2.0,2.0,7.0,1.0,success,success,success,
false,21,1,composite,ci-composite.yml,34715051138,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34715051138,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T19:44:40Z,2026-09-12T19:44:43Z,2026-09-12T19:45:48Z,2026-09-12T19:45:56Z,3.0,65.0,76.0,65.0,31.0,96.0,101.0,3.0,25.0,4.0,3.0,9.0,1.0,success,success,success,
false,21,2,baseline,ci-baseline.yml,34715123788,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34715123788,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T19:46:08Z,2026-09-12T19:46:11Z,2026-09-12T19:47:06Z,2026-09-12T19:47:13Z,3.0,55.0,65.0,55.0,32.0,87.0,92.0,4.0,23.0,3.0,3.0,10.0,0.0,success,success,success,
false,21,3,reusable,ci-reusable.yml,34715185831,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34715185831,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T19:47:25Z,2026-09-12T19:47:29Z,2026-09-12T19:48:19Z,2026-09-12T19:48:29Z,4.0,50.0,64.0,50.0,38.0,88.0,94.0,4.0,24.0,3.0,3.0,10.0,1.0,success,success,success,
false,22,1,composite,ci-composite.yml,34715249065,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34715249065,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T19:48:43Z,2026-09-12T19:48:47Z,2026-09-12T19:49:51Z,2026-09-12T19:49:58Z,4.0,64.0,75.0,52.0,30.0,82.0,86.0,4.0,22.0,3.0,2.0,10.0,0.0,success,success,success,
false,22,2,reusable,ci-reusable.yml,34715319495,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34715319495,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T19:50:12Z,2026-09-12T19:50:15Z,2026-09-12T19:51:14Z,2026-09-12T19:51:38Z,3.0,59.0,86.0,59.0,30.0,89.0,94.0,3.0,21.0,3.0,3.0,11.0,1.0,success,success,success,
false,22,3,baseline,ci-baseline.yml,34715399569,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34715399569,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T19:51:51Z,2026-09-12T19:52:04Z,2026-09-12T19:53:03Z,2026-09-12T19:53:16Z,13.0,59.0,85.0,59.0,32.0,91.0,97.0,4.0,23.0,3.0,4.0,11.0,1.0,success,success,success,
