is_warmup,round,order_position,variant,workflow_file,run_id,run_attempt,run_url,sha,conclusion,metrics_artifact_found,created_at,workload_started_at,workload_completed_at,workflow_completed_at,queue_delay_sec,workload_duration_sec,end_to_end_duration_sec,backend_job_duration_sec,frontend_job_duration_sec,workload_runner_time_sec,total_runner_time_sec,backend_install_sec,backend_test_sec,frontend_install_sec,frontend_lint_sec,frontend_test_sec,frontend_build_sec,backend_conclusion,frontend_conclusion,metrics_conclusion,failed_step
false,1,1,baseline,ci-baseline.yml,32979594826,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/32979594826,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-08-26T14:19:44Z,2026-08-26T14:19:48Z,2026-08-26T14:20:39Z,2026-08-26T14:20:46Z,4.0,51.0,62.0,51.0,33.0,84.0,88.0,3.0,24.0,3.0,3.0,10.0,1.0,success,success,success,
false,1,2,composite,ci-composite.yml,32979715483,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/32979715483,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-08-26T14:20:53Z,2026-08-26T14:20:57Z,2026-08-26T14:21:39Z,2026-08-26T14:21:47Z,4.0,42.0,54.0,42.0,29.0,71.0,76.0,3.0,19.0,4.0,,,,success,success,success,
false,1,3,reusable,ci-reusable.yml,32979836911,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/32979836911,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-08-26T14:22:02Z,2026-08-26T14:22:06Z,2026-08-26T14:22:55Z,2026-08-26T14:23:04Z,4.0,49.0,62.0,49.0,26.0,75.0,81.0,5.0,22.0,4.0,3.0,11.0,1.0,success,success,success,
