is_warmup,round,order_position,variant,workflow_file,run_id,run_attempt,run_url,sha,conclusion,metrics_artifact_found,created_at,workload_started_at,workload_completed_at,workflow_completed_at,queue_delay_sec,workload_duration_sec,end_to_end_duration_sec,backend_job_duration_sec,frontend_job_duration_sec,workload_runner_time_sec,total_runner_time_sec,backend_install_sec,backend_test_sec,frontend_install_sec,frontend_lint_sec,frontend_test_sec,frontend_build_sec,backend_conclusion,frontend_conclusion,metrics_conclusion,failed_step
false,1,1,baseline,ci-baseline.yml,32984786729,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/32984786729,a693c3be73089c158f0cb556b9358606c895662a,startup_failure,false,2026-08-26T15:20:46Z,,,,,,,,,0,0,,,,,,,,,,
false,1,2,composite,ci-composite.yml,32985035952,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/32985035952,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-08-26T15:24:33Z,2026-08-26T15:24:47Z,2026-08-26T15:25:32Z,2026-08-26T15:30:38Z,14.0,45.0,365.0,45.0,29.0,74.0,77.0,4.0,22.0,3.0,2.0,7.0,0.0,success,success,success,
