is_warmup,round,order_position,variant,workflow_file,run_id,run_attempt,run_url,sha,conclusion,created_at,workload_started_at,workload_completed_at,workflow_completed_at,queue_delay_sec,workload_duration_sec,end_to_end_duration_sec,backend_job_duration_sec,frontend_job_duration_sec,workload_runner_time_sec,total_runner_time_sec,backend_install_sec,backend_init_db_sec,backend_test_sec,frontend_install_sec,frontend_lint_sec,frontend_test_sec,frontend_build_sec,frontend_upload_artifact_sec,backend_conclusion,frontend_conclusion,metrics_conclusion,failed_step
false,1,1,baseline,ci-baseline.yml,32976042473,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/32976042473,073866f5d27af59969e4e5f526dbabe1695901af,failure,2026-08-26T13:44:53Z,2026-08-26T13:44:57Z,2026-08-26T13:45:53Z,2026-08-26T13:45:54Z,4.0,56.0,61.0,55.0,29.0,84.0,84.0,3.0,0.0,22.0,4.0,3.0,10.0,0.0,0.0,success,failure,skipped,frontend-ci :: Run frontend tests
false,1,2,composite,ci-composite.yml,32976157660,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/32976157660,073866f5d27af59969e4e5f526dbabe1695901af,success,2026-08-26T13:46:00Z,2026-08-26T13:46:04Z,2026-08-26T13:46:52Z,2026-08-26T13:47:00Z,4.0,48.0,60.0,48.0,29.0,77.0,82.0,,,,,,,,1.0,success,success,success,
false,1,3,reusable,ci-reusable.yml,32976271930,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/32976271930,073866f5d27af59969e4e5f526dbabe1695901af,success,2026-08-26T13:47:07Z,2026-08-26T13:47:11Z,2026-08-26T13:47:56Z,2026-08-26T13:48:05Z,4.0,45.0,58.0,45.0,29.0,74.0,80.0,5.0,0.0,22.0,5.0,4.0,11.0,1.0,1.0,success,success,success,
