is_warmup,round,order_position,variant,workflow_file,run_id,run_attempt,run_url,sha,conclusion,metrics_artifact_found,created_at,workload_started_at,workload_completed_at,workflow_completed_at,queue_delay_sec,workload_duration_sec,end_to_end_duration_sec,backend_job_duration_sec,frontend_job_duration_sec,workload_runner_time_sec,total_runner_time_sec,backend_install_sec,backend_test_sec,frontend_install_sec,frontend_lint_sec,frontend_test_sec,frontend_build_sec,backend_conclusion,frontend_conclusion,metrics_conclusion,failed_step
false,14,3,baseline,ci-baseline.yml,33530103651,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33530103651,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:09:24Z,2026-09-01T16:09:28Z,2026-09-01T16:10:39Z,2026-09-01T16:10:48Z,4.0,71.0,84.0,71.0,32.0,103.0,109.0,2.0,32.0,3.0,3.0,9.0,1.0,success,success,success,
false,15,1,reusable,ci-reusable.yml,33530272275,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33530272275,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:11:03Z,2026-09-01T16:11:07Z,2026-09-01T16:11:52Z,2026-09-01T16:12:01Z,4.0,45.0,58.0,45.0,27.0,72.0,78.0,5.0,22.0,4.0,4.0,10.0,0.0,success,success,success,
false,15,2,baseline,ci-baseline.yml,33530385426,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33530385426,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:12:12Z,2026-09-01T16:12:15Z,2026-09-01T16:13:03Z,2026-09-01T16:13:12Z,3.0,48.0,60.0,47.0,34.0,81.0,87.0,3.0,20.0,2.0,4.0,7.0,1.0,success,success,success,
false,15,3,composite,ci-composite.yml,33530503029,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33530503029,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:13:21Z,2026-09-01T16:13:25Z,2026-09-01T16:14:09Z,2026-09-01T16:14:18Z,4.0,44.0,57.0,44.0,29.0,73.0,79.0,3.0,21.0,4.0,3.0,10.0,0.0,success,success,success,
false,16,1,baseline,ci-baseline.yml,33530616419,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33530616419,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:14:29Z,2026-09-01T16:14:33Z,2026-09-01T16:15:21Z,2026-09-01T16:15:31Z,4.0,48.0,62.0,48.0,30.0,78.0,85.0,3.0,22.0,2.0,3.0,8.0,1.0,success,success,success,
false,16,2,composite,ci-composite.yml,33530729503,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33530729503,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:15:37Z,2026-09-01T16:15:42Z,2026-09-01T16:16:29Z,2026-09-01T16:16:39Z,5.0,47.0,62.0,47.0,28.0,75.0,81.0,4.0,20.0,4.0,3.0,10.0,1.0,success,success,success,
false,16,3,reusable,ci-reusable.yml,33530839903,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33530839903,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:16:47Z,2026-09-01T16:16:52Z,2026-09-01T16:17:39Z,2026-09-01T16:17:47Z,5.0,47.0,60.0,47.0,24.0,71.0,77.0,5.0,22.0,3.0,3.0,10.0,0.0,success,success,success,
false,17,1,composite,ci-composite.yml,33530951345,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33530951345,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:17:56Z,2026-09-01T16:17:59Z,2026-09-01T16:18:48Z,2026-09-01T16:18:56Z,3.0,49.0,60.0,48.0,26.0,74.0,79.0,4.0,21.0,3.0,4.0,10.0,1.0,success,success,success,
false,17,2,reusable,ci-reusable.yml,33531060836,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33531060836,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:19:05Z,2026-09-01T16:19:08Z,2026-09-01T16:20:02Z,2026-09-01T16:20:11Z,3.0,54.0,66.0,54.0,34.0,88.0,94.0,3.0,23.0,7.0,3.0,9.0,0.0,success,success,success,
false,17,3,baseline,ci-baseline.yml,33531189484,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33531189484,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T16:20:24Z,2026-09-01T16:20:27Z,2026-09-01T16:21:29Z,2026-09-01T16:21:37Z,3.0,62.0,73.0,61.0,27.0,88.0,93.0,3.0,22.0,2.0,3.0,9.0,1.0,success,success,success,
