is_warmup,round,order_position,variant,workflow_file,run_id,run_attempt,run_url,sha,conclusion,metrics_artifact_found,created_at,workload_started_at,workload_completed_at,workflow_completed_at,queue_delay_sec,workload_duration_sec,end_to_end_duration_sec,backend_job_duration_sec,frontend_job_duration_sec,workload_runner_time_sec,total_runner_time_sec,backend_install_sec,backend_test_sec,frontend_install_sec,frontend_lint_sec,frontend_test_sec,frontend_build_sec,backend_conclusion,frontend_conclusion,metrics_conclusion,failed_step
false,1,1,baseline,ci-baseline.yml,32982098227,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/32982098227,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-08-26T14:43:51Z,2026-08-26T14:43:55Z,2026-08-26T14:44:47Z,2026-08-26T14:44:55Z,4.0,52.0,64.0,52.0,34.0,86.0,92.0,3.0,23.0,2.0,4.0,10.0,0.0,success,success,success,
false,1,2,composite,ci-composite.yml,32982237748,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/32982237748,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-08-26T14:45:11Z,2026-08-26T14:45:16Z,2026-08-26T14:46:07Z,2026-08-26T14:46:15Z,5.0,51.0,64.0,50.0,26.0,76.0,82.0,5.0,21.0,3.0,3.0,8.0,0.0,success,success,success,
false,1,3,reusable,ci-reusable.yml,32982380016,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/32982380016,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-08-26T14:46:31Z,2026-08-26T14:46:36Z,2026-08-26T14:47:30Z,2026-08-26T14:47:37Z,5.0,54.0,66.0,54.0,22.0,76.0,81.0,2.0,20.0,3.0,2.0,7.0,1.0,success,success,success,
